packetsReceivedVideo,roundTripTimeAudio,bytesReceived,jitterAudio,bytesSentAudio,networkType,packetsReceivedAudio,bytesReceivedVideo,roomId,bytesSentVideo,date,bytesSent,packetsLostAudio,bytesReceivedAudio,availableOutgoingBitrate,time,jitterVideo,roundTripTimeVideo,packetsLostVideo,timestamp
1924,16.541,2124223,3,48104,4g,679,1966309,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,2728203,2025-04-13 21:55:57.091000+00:00,2915402,0,48153,3651003,2025-04-13 21:55:58.064000+00:00,11.0,18.951,0,1744581357086.292
2162,16.541,2391767,3,55001,4g,780,2212794,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,3249843,2025-04-13 21:55:59.085000+00:00,3467871,0,54778,3717416,2025-04-13 21:55:59.240000+00:00,18.0,22.185999999999996,0,1744581359084.532
2409,14.190999999999999,2668475,7,61860,4g,879,2468544,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,3772388,2025-04-13 21:56:01.086000+00:00,4021373,0,61278,3717416,2025-04-13 21:56:01.237000+00:00,17.0,63.705,0,1744581361085.531
2748,14.190999999999999,3052628,6,68693,4g,980,2828655,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,4155851,2025-04-13 21:56:03.087000+00:00,4430907,0,67880,1423592,2025-04-13 21:56:03.239000+00:00,29.0,28.244,0,1744581363085.509
3179,14.190999999999999,3537532,6,75532,4g,1080,3286184,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,4413342,2025-04-13 21:56:05.085000+00:00,4710685,0,74433,942370,2025-04-13 21:56:05.235000+00:00,25.0,19.211,0,1744581365084.107
3572,14.190999999999999,3980807,4,82479,4g,1180,3703916,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,4616931,2025-04-13 21:56:07.090000+00:00,4934827,0,81004,981589,2025-04-13 21:56:07.238000+00:00,16.0,225.784,0,1744581367088.961
3888,34.637,4340208,7,89401,4g,1280,4039890,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,4771451,2025-04-13 21:56:09.085000+00:00,5107987,0,87573,1001918,2025-04-13 21:56:09.230000+00:00,12.0,105.972,0,1744581369084.341
4268,35.568,4769353,6,96299,4g,1380,4443558,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,4998909,2025-04-13 21:56:11.090000+00:00,5356729,0,94150,1044556,2025-04-13 21:56:11.240000+00:00,7.0,65.826,0,1744581371089.02
4661,35.568,5217659,4,103214,4g,1480,4866122,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,5219558,2025-04-13 21:56:13.085000+00:00,5598551,0,100740,872502,2025-04-13 21:56:13.725000+00:00,6.0,115.097,0,1744581373084.254
5065,35.568,5674435,4,110096,4g,1580,5296603,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,5386771,2025-04-13 21:56:15.086000+00:00,5785236,0,107207,898357,2025-04-13 21:56:15.232000+00:00,7.0,166.656,0,1744581375085.239
5445,156.891,6108709,5,116915,4g,1680,5705310,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,5551083,2025-04-13 21:56:17.090000+00:00,5968447,0,113760,935008,2025-04-13 21:56:17.235000+00:00,7.0,18.753,0,1744581377089.161
5844,156.891,6562694,4,123725,4g,1780,6133310,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,5775977,2025-04-13 21:56:19.085000+00:00,6214411,0,120355,859385,2025-04-13 21:56:19.223000+00:00,7.0,131.149,0,1744581379084.31
6264,156.891,7038295,4,130524,4g,1880,6582280,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,5957961,2025-04-13 21:56:21.086000+00:00,6416186,0,126980,872148,2025-04-13 21:56:21.229000+00:00,8.0,169.35699999999997,0,1744581381085.166
6650,116.75999999999999,7473496,5,137346,4g,1980,6991632,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,6137280,2025-04-13 21:56:23.086000+00:00,6615001,0,133397,911448,2025-04-13 21:56:23.225000+00:00,7.0,17.38,0,1744581383085.057
7050,116.75999999999999,7925097,5,144122,4g,2080,7417077,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,6328973,2025-04-13 21:56:25.089000+00:00,6827092,0,139889,954849,2025-04-13 21:56:25.229000+00:00,5.0,24.108999999999998,0,1744581385088.064
7452,116.75999999999999,8379066,3,150930,4g,2180,7844665,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,6504011,2025-04-13 21:56:27.086000+00:00,7021724,0,146290,1030419,2025-04-13 21:56:27.225000+00:00,6.0,11.458999999999998,0,1744581387084.674
7829,15.441999999999998,8803622,6,157667,4g,2280,8243757,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,6760911,2025-04-13 21:56:29.088000+00:00,7300863,0,152736,1106526,2025-04-13 21:56:29.229000+00:00,28.0,24.413999999999998,0,1744581389087.53
8229,15.441999999999998,9256216,6,164417,4g,2380,8669916,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,6950623,2025-04-13 21:56:31.088000+00:00,7510509,0,159213,1177753,2025-04-13 21:56:31.230000+00:00,13.0,18.89,0,1744581391086.742
8626,12.679999999999998,9705015,7,171172,4g,2480,9092662,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7176411,2025-04-13 21:56:33.086000+00:00,7757416,0,165736,895975,2025-04-13 21:56:33.224000+00:00,8.0,26.320999999999998,0,1744581393084.588
9027,12.679999999999998,10157710,6,177868,4g,2580,9518496,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7399657,2025-04-13 21:56:35.087000+00:00,8001776,0,173003,825658,2025-04-13 21:56:35.231000+00:00,10.0,22.156,0,1744581395085.915
9416,103.241,10599079,4,184618,4g,2680,9932561,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7562887,2025-04-13 21:56:37.087000+00:00,8183736,0,181103,593962,2025-04-13 21:56:37.226000+00:00,6.0,177.03199999999998,0,1744581397085.092
