"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"142.250.82.213:3478 → 192.168.0.23:65489 (0x00000000)"
2700,1,0,0,0,0.52,"","OK"
2701,2,0,0,0,2.824,"","OK"
2702,3,0.0010000000002037268,0,0,5.128,"","OK"
2703,4,0.0020000000004074536,0,0,7.432,"","OK"
2704,5,0.0010000000002037268,0,0,9.736,"","OK"
2705,6,0.0009999999992942321,0,0,12.04,"","OK"
2706,7,0.0010000000002037268,0,0,14.344,"","OK"
2707,8,0.0010000000002037268,0,0,16.648,"","OK"
2713,9,19.75799999999981,0,0,18.952,"","OK"
2714,10,0.0020000000004074536,0,0,19.608,"","OK"
2715,11,0.001999999999497959,0,0,21.912,"","OK"
2716,12,0.0020000000004074536,0,0,24.216,"","OK"
2717,13,0.001999999999497959,0,0,26.52,"","OK"
2718,14,0.0020000000004074536,0,0,28.824,"","OK"
2719,15,0.001999999999497959,0,0,31.128,"","OK"
2720,16,0.0020000000004074536,0,0,33.432,"","OK"
2723,17,30.951000000000022,0,0,35.232,"","OK"
2783,18,188.683,0,0,35.752,"","OK"
2784,19,0.001999999999497959,0,0,38.056,"","OK"
2785,20,0.0010000000002037268,0,0,40.36,"","OK"
2786,21,0.0010000000002037268,0,0,42.664,"","OK"
2787,22,0.0010000000002037268,0,0,44.968,"","OK"
2788,23,0.0009999999992942321,0,0,47.272,"","OK"
2789,24,0.0010000000002037268,0,0,49.576,"","OK"
2790,25,0.0010000000002037268,0,0,51.88,"","OK"
2791,26,0.005000000000109139,0,0,54.184,"","OK"
2792,27,0.0010000000002037268,0,0,56.488,"","OK"
2793,28,0.0009999999992942321,0,0,58.792,"","OK"
2794,29,0.0010000000002037268,0,0,61.096,"","OK"
2795,30,0.0010000000002037268,0,0,63.4,"","OK"
2796,31,0,0,0,65.704,"","OK"
2799,32,0.0029999999997016857,0,0,68.008,"","OK"
2800,33,0.0010000000002037268,0,0,70.312,"","OK"
2801,34,0.0010000000002037268,0,0,72.616,"","OK"
2802,35,0.0010000000002037268,0,0,74.92,"","OK"
2803,36,0.0009999999992942321,0,0,77.224,"","OK"
2804,37,0.0010000000002037268,0,0,79.528,"","OK"
2848,38,14.076000000000022,0,0,81.832,"","OK"
2849,39,0.0010000000002037268,0,0,84.136,"","OK"
2850,40,0.0010000000002037268,0,0,86.44,"","OK"
2851,41,0.0010000000002037268,0,0,88.744,"","OK"
2852,42,0,0,0,91.048,"","OK"
2853,43,0.0009999999992942321,0,0,92.024,"","OK"
2854,44,0.0010000000002037268,0,0,94.328,"","OK"
2855,45,0,0,0,96.632,"","OK"
2856,46,0.0010000000002037268,0,0,98.936,"","OK"
2857,47,0,0,0,101.24,"","OK"
2858,48,0.0010000000002037268,0,0,103.544,"","OK"
2859,49,0,0,0,105.848,"","OK"
2860,50,0.0010000000002037268,0,0,108.152,"","OK"
2861,51,0.0009999999992942321,0,0,110.456,"","OK"
2862,52,0,0,0,112.76,"","OK"
2863,53,0.0010000000002037268,0,0,115.064,"","OK"
2864,54,0,0,0,117.368,"","OK"
2865,55,0.0010000000002037268,0,0,119.672,"","OK"
2866,56,0.0009999999992942321,0,0,121.976,"","OK"
2867,57,0,0,0,124.28,"","OK"
2885,58,30.149000000000342,0,0,126.584,"","OK"
2890,59,5.100000000000364,0,0,128.888,"","OK"
2891,60,0.0009999999992942321,0,0,131.192,"","OK"
2892,61,0.0010000000002037268,0,0,132.736,"","OK"
2957,62,189.97000000000025,0,0,133.256,"","OK"
2958,63,0.0010000000002037268,0,0,135.56,"","OK"
2959,64,0.0010000000002037268,0,0,137.864,"","OK"
2960,65,0.0009999999992942321,0,0,140.168,"","OK"
2961,66,0.0010000000002037268,0,0,142.472,"","OK"
2962,67,0.0010000000002037268,0,0,144.776,"","OK"
2963,68,0,0,0,147.08,"","OK"
2964,69,0.0010000000002037268,0,0,149.384,"","OK"
2965,70,0.0010000000002037268,0,0,151.688,"","OK"
2966,71,0.0009999999992942321,0,0,153.992,"","OK"
2967,72,0.0020000000004074536,0,0,156.296,"","OK"
2968,73,0.0010000000002037268,0,0,158.6,"","OK"
2969,74,0.0009999999992942321,0,0,160.904,"","OK"
2970,75,0.0010000000002037268,0,0,163.208,"","OK"
2971,76,0.0010000000002037268,0,0,165.512,"","OK"
2972,77,0.0010000000002037268,0,0,167.816,"","OK"
2973,78,0.0010000000002037268,0,0,170.12,"","OK"
2974,79,0.0009999999992942321,0,0,172.424,"","OK"
2975,80,0.0010000000002037268,0,0,174.728,"","OK"
2976,81,0.0010000000002037268,0,0,177.032,"","OK"
2977,82,0.0010000000002037268,0,0,179.336,"","OK"
2978,83,0.0009999999992942321,0,0,181.64,"","OK"
2979,84,0.0010000000002037268,0,0,183.944,"","OK"
2980,85,0.0010000000002037268,0,0,186.248,"","OK"
2981,86,0.0010000000002037268,0,0,188.552,"","OK"
2982,87,0.0010000000002037268,0,0,190.856,"","OK"
2983,88,0.0009999999992942321,0,0,193.16,"","OK"
2984,89,0.0020000000004074536,0,0,195.464,"","OK"
2985,90,0.0009999999992942321,0,0,197.768,"","OK"
2986,91,0.0010000000002037268,0,0,200.072,"","OK"
2987,92,0.0010000000002037268,0,0,202.376,"","OK"
2988,93,0.0010000000002037268,0,0,204.68,"","OK"
2989,94,0.0010000000002037268,0,0,206.984,"","OK"
2990,95,0.0010000000002037268,0,0,209.288,"","OK"
2991,96,0,0,0,211.592,"","OK"
2992,97,0.0009999999992942321,0,0,213.896,"","OK"
2993,98,0.0010000000002037268,0,0,216.2,"","OK"
